2025-04-11 19:35:17 status installed libargon2-1:amd64 0~20171227-0.2
2025-04-11 19:35:17 configure libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1 <none>
2025-04-11 19:35:17 status unpacked libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:17 status half-configured libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:17 status installed libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:17 configure libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3 <none>
2025-04-11 19:35:17 status unpacked libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:17 status half-configured libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:17 status installed libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:17 configure libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4 <none>
2025-04-11 19:35:17 status unpacked libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:17 status half-configured libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:17 status installed libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:17 configure libip4tc2:amd64 1.8.4-3ubuntu2.1 <none>
2025-04-11 19:35:17 status unpacked libip4tc2:amd64 1.8.4-3ubuntu2.1
2025-04-11 19:35:17 status half-configured libip4tc2:amd64 1.8.4-3ubuntu2.1
2025-04-11 19:35:17 status installed libip4tc2:amd64 1.8.4-3ubuntu2.1
2025-04-11 19:35:17 configure libkmod2:amd64 27-1ubuntu2.1 <none>
2025-04-11 19:35:17 status unpacked libkmod2:amd64 27-1ubuntu2.1
2025-04-11 19:35:17 status half-configured libkmod2:amd64 27-1ubuntu2.1
2025-04-11 19:35:17 status installed libkmod2:amd64 27-1ubuntu2.1
2025-04-11 19:35:17 configure systemd-timesyncd:amd64 245.4-4ubuntu3.24 <none>
2025-04-11 19:35:17 status unpacked systemd-timesyncd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:17 status half-configured systemd-timesyncd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:18 status installed systemd-timesyncd:amd64 245.4-4ubuntu3.24
